id,enseignement,module,orientation,annee,ects,responsable,rattachement,autres_enseignants,nb_competences,nb_validees,statut
GESTEAU,Gestion de l'eau,M3 – Environnement naturel (GES) ; M5 (SE),"Géographie, environnement et sociétés",2e,3,Emmanuel Reynard,FGSE,,3,3,Documenté
GEOMORI,Géomorphologie I,M3 (GES) ; M3 (SE) ; M2 (Géologie),"Géographie, environnement et sociétés",2e,3,Emmanuel Reynard,FGSE,,3,3,Documenté
TELEDE,Télédétection,M3 (GES) ; M2 (SE) ; M3 (Géologie),"Géographie, environnement et sociétés",2e,3,Grégoire Mariéthoz,FGSE,,0,0,À documenter
PRODSAVOGEOG,Production de savoirs en géographie et environnement,M4 – Outils et méthodes (GES) ; M4 (SE),"Géographie, environnement et sociétés",2e,3,Christian Kull,FGSE,S. Lane,3,3,Documenté
METHQUANSTATIII,Méthodes quantitatives III : statistiques multivariées,M4 (GES) ; M2 (SE),"Géographie, environnement et sociétés",2e,3,G. Guex,FGSE,,0,0,À documenter
METHENQUANAL,Méthodes d'enquête et d'analyse,M4 – Outils et méthodes,"Géographie, environnement et sociétés",2e,3,Céline Rozenblat,FGSE,M. Rogov,3,3,Documenté
METHQUALAVAN,Méthodes qualitatives avancées : méthodes et terrains,M4 – Outils et méthodes,"Géographie, environnement et sociétés",2e,6,Laine Chanteloup,FGSE,G. Walters,0,0,À documenter
GEOINFII,Géoinformatique II,M5 (GES) ; M6 (SE) ; M6 (Géologie),"Géographie, environnement et sociétés",3e,3,Tom Beucler,FGSE,,0,0,À documenter
POLIECOL,Political Ecology,M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,Christian Kull,FGSE,,3,3,Documenté
TOURENVISOCI,"Tourisme : environnement, société, économie",M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,Morgane Müller,FGSE,C. Clivaz ; L. Kébir ; M. Stock,3,3,Documenté
GEOGMOBI,Géographie des mobilités,M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,Patrick Rérat,FGSE,,0,0,À documenter
GEOGDEVE,Géographie du développement,M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,René Véron,FGSE,,5,5,Documenté
SYSTCOMPORGA,Systèmes complexes et organisation de l'espace géographique,M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,Céline Rozenblat,FGSE,M. Rogov,3,3,Documenté
DYNAURBACAM,Dynamiques urbaines (camp de terrain),M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,6,Joëlle Salomon Cavin,FGSE,C. Trivin (camp 2026) ; M. Müller (camp 2027),0,0,À documenter
EVALCRITMETH,Evaluation critique des méthodes en économie environnementale,M6 – Spécialisation en transition écologique,"Géographie, environnement et sociétés",3e,3,Christophe Mager,FGSE,,0,0,À documenter
DROIENVI,Droit de l'environnement,M6 (GES) ; M5 (SE),"Géographie, environnement et sociétés",3e,6,Charlotte Blattner,FGSE,,3,3,Documenté
DURAMODEVIE,Durabilité et modes de vie,M6 – Spécialisation en transition écologique,"Géographie, environnement et sociétés",3e,3,Christian Arnsperger,FGSE,,0,0,À documenter
ELEMECONECOL,Eléments d'économie écologique,M6 – Spécialisation en transition écologique,"Géographie, environnement et sociétés",3e,3,Valérie Boisvert,FGSE,,3,3,Documenté
PREPTRAVBACH,Préparation au travail de Bachelor,M7 (GES) ; M8 (SE) ; M8 (Géologie),Transversal,3e,2,Joëlle Salomon Cavin,FGSE,,0,0,À documenter
TRAVBACH,Travail de Bachelor,M7 (GES) ; M8 (SE) ; M8 (Géologie),Transversal,3e,10,Directrice / directeur de mémoire,FGSE,,0,0,À documenter
GEOCENVI,Géochimie environnementale,M1 – Chimie et biologie (SE) ; M4 (Géologie),Sciences de l'environnement,2e,3,Johanna Marin Carbonne,FGSE,,10,10,Documenté
CHIMORGAENVI,Chimie organique environnementale,M1 – Chimie et biologie,Sciences de l'environnement,2e,3,Marco Keiluweit,FGSE,,3,3,Documenté
BIOLOG,Biologie,M1 – Chimie et biologie,Sciences de l'environnement,2e,3,Pascal Vittoz,FGSE,M. Blanc,0,0,À documenter
ECOLVEGE,Ecologie végétale,M1 – Chimie et biologie,Sciences de l'environnement,2e,3,Pascal Vittoz,FGSE,,0,0,À documenter
LEVEGEOM,Levés géomatiques,M2 – Outils quantitatifs,Sciences de l'environnement,2e,3,Beatriz Quintal,FGSE,,3,3,Documenté
ANALVECT,Analyse vectorielle,M2 (SE) ; M4 (Géologie),Sciences de l'environnement,2e,3,Pietro De Anna,FGSE,,5,5,Documenté
MODENUME,Modélisation numérique,M2 (SE) ; M4 (Géologie),Sciences de l'environnement,2e,3,Guillaume Jouvet,FGSE,,3,3,Documenté
PHYSGENEII,Physique générale II,M3 – Éléments de géosciences (SE) ; M4 (Géologie),Sciences de l'environnement,2e,3,F. Carbone (EPFL) / S. Bréchet (EPFL),EPFL,,0,0,À documenter
PHYSGLOB,Physique du globe,M3 (SE) ; M3 (Géologie),Sciences de l'environnement,2e,3,James Irving,FGSE,NN,0,0,À documenter
GEOMORII,Géomorphologie II,M3 (SE) ; M2 (Géologie),Sciences de l'environnement,2e,3,Christophe Lambiel,FGSE,,0,0,À documenter
RISQENVI,Risques environnementaux,M3 (SE) ; M3 (Géologie),Sciences de l'environnement,2e,3,Michel Jaboyedoff,FGSE,,0,0,À documenter
PRINSCIEATMO,Principes de la science atmosphérique,M4 – Processus environnementaux,Sciences de l'environnement,2e,6,Daniela Domeisen,FGSE,,0,0,À documenter
HYDROL,Hydrologie,M4 (SE) ; M5 (SE),Sciences de l'environnement,2e,6,Paolo Benettin,FGSE,,0,0,À documenter
HYDRFORMPROC,"Hydrauliques, formes et processus fluviaux",M5 – Approches et gestion de l'environnement,Sciences de l'environnement,3e,3,Stuart Lane,FGSE,G. Antoniazza,0,0,À documenter
PEDOLO,Pédologie,M5 – Approches et gestion de l'environnement,Sciences de l'environnement,3e,3,Stéphanie Grand,FGSE,,0,0,À documenter
CAMPTERRENVI,Camp de terrain en environnement,M5 – Approches et gestion de l'environnement,Sciences de l'environnement,3e,3,Stuart Lane,FGSE,G. Antoniazza,0,0,À documenter
GEOPENVI,Géophysique de l'environnement,M6 – Sciences et outils quantitatifs,Sciences de l'environnement,3e,6,Niklas Linde,FGSE,,3,3,Documenté
GEOPENVICAMP,Géophysique de l'environnement : camp,M6 – Sciences et outils quantitatifs,Sciences de l'environnement,3e,3,James Irving,FGSE,N. Linde,0,0,À documenter
ANALDONNENVI,Analyses des données environnementales,M6 – Sciences et outils quantitatifs,Sciences de l'environnement,3e,3,Marie-Elodie Perga,FGSE,,0,0,À documenter
EXCUCARTGEOM,Excursions et cartographie géomorphologique,M7a – Processus de la surface terrestre,Sciences de l'environnement,3e,3,Christophe Lambiel,FGSE,,0,0,À documenter
ETUDMOUVGRAV,Etudes des mouvements gravitaires,M7a – Processus de la surface terrestre,Sciences de l'environnement,3e,3,Marc-Henri Derron,FGSE,M. Jaboyedoff,4,4,Documenté
CHANENVIQUAT,Changement environnemental du quaternaire,M7a – Processus de la surface terrestre,Sciences de l'environnement,3e,3,Georgina King,FGSE,,4,4,Documenté
CARTGEOL,Cartographie géologique,M7a (SE) ; M6 (Géologie),Sciences de l'environnement,3e,3,Stefan Schmalholz,FGSE,A. Daley,3,3,Documenté
ECOTOX,Ecotoxicologie,M7b – Sciences aquatiques,Sciences de l'environnement,3e,3,Nathalie Chèvre,FGSE,,3,3,Documenté
HYDRPOLLEAUX,Hydrochimie et pollution des eaux,M7b – Sciences aquatiques,Sciences de l'environnement,3e,3,Jasmine Berg,FGSE,,3,3,Documenté
LIMNOL,Limnologie,M7b – Sciences aquatiques,Sciences de l'environnement,3e,3,Marie-Elodie Perga,FGSE,,0,0,À documenter
