id,groupe_thematique,categorie,dimension_cec,niveau_cec,competence,propose_par,statut,valide_le,remarque
PARC-SCIEAQUA-1,Sciences aquatiques,Connaissances disciplinaires,Savoirs,6,"Appréhender la question de l'eau de manière holistique, du processus physique à la gouvernance",E. Reynard,Validé en séance,22.09.2026,
PARC-SCIEAQUA-2,Sciences aquatiques,Techniques et informatique,Aptitudes,6,Lire et interpréter des graphiques et des données,M.-E. Perga,Validé en séance,22.09.2026,confirmée par l'ensemble du groupe
PARC-SCIEAQUA-3,Sciences aquatiques,Techniques et informatique,Aptitudes,6,Faire des calculs d'ordre de grandeur,M.-E. Perga,Validé en séance,22.09.2026,
PARC-SCIEAQUA-4,Sciences aquatiques,Terrain / Méthodo,Aptitudes,6,"Manipuler du matériel de laboratoire et de terrain : suivre un protocole, calibrer des appareils, rédiger un rapport d'expérience",N. Chèvre,Validé en séance,22.09.2026,
PARC-SCIEAQUA-5,Sciences aquatiques,Terrain / Méthodo,Aptitudes,6,Mettre en tension mesures et théories,S. Lane,Validé en séance,22.09.2026,"exemples cités : le profil de vitesse qui s'écarte de la théorie, les courbes dose-réponse"
PARC-SCIEAQUA-6,Sciences aquatiques,Terrain / Méthodo,Aptitudes,6,"Observer l'environnement, et pas seulement le mesurer",N. Chèvre,Validé en séance,22.09.2026,
PARC-SCIEAQUA-7,Sciences aquatiques,Soft Skills,Autonomie et responsabilité,6,Communiquer à différents publics et sur différents supports,le groupe,Validé en séance,22.09.2026,"quatre rendus différents aux excursions de 1re année : blog, infographie, vidéo, rapport"
